edge_id,model,hard_detected,soft_detected,direction_correct,detection_rate,mean_jsd,median_jsd,jsd_ci_lower,jsd_ci_upper,omnibus_significant
S6R,qwen3-next-80b-instruct,False,False,True,0.0,0.0374812054280833,0.025416782399088615,0.023536285353526813,0.05339616032519736,False
S80,qwen3-next-80b-instruct,False,False,True,0.0,0.050680273683171094,0.03594875390222978,0.03202997200796895,0.07387319829775349,False
S7R,qwen3-next-80b-instruct,False,False,True,0.0,0.04274013329541809,0.03974892696708187,0.03259778582764913,0.05346057590957494,False
S14,qwen3-next-80b-instruct,False,False,True,0.0,0.05250222709453792,0.04859279214962665,0.04764867289114263,0.061501246057465486,False
S27,qwen3-next-80b-instruct,False,False,True,0.2,0.10415162203871409,0.04859279214962665,0.05296462443616197,0.16345758255090573,False
S45,qwen3-next-80b-instruct,False,True,True,0.25,0.23445351566064437,0.23445351566064437,0.0,0.0,False
S46,qwen3-next-80b-instruct,False,False,True,0.14285714285714285,0.09271382977881855,0.023679731614670758,0.02000824206114052,0.23445351566064435,False
S40R,qwen3-next-80b-instruct,False,True,True,0.25,0.23445351566064437,0.23445351566064437,0.0,0.0,False
S41R,qwen3-next-80b-instruct,False,True,True,0.25,0.23445351566064437,0.23445351566064437,0.0,0.0,False
S49R,qwen3-next-80b-instruct,False,True,True,0.25,0.23445351566064437,0.23445351566064437,0.0,0.0,False
S16R,qwen3-next-80b-instruct,False,True,True,0.25,0.17841799787368098,0.023679731614670758,0.023679731614670758,0.4878945303917015,False
S39R,qwen3-next-80b-instruct,False,True,True,0.4444444444444444,0.1854884390964348,0.14275053886841246,0.07866351567754684,0.29704206449334336,False
S42R,qwen3-next-80b-instruct,False,False,True,0.2,0.14873357990362668,0.04168002880406723,0.023679731614670758,0.37184083069744384,False
S17R,qwen3-next-80b-instruct,False,True,True,0.14285714285714285,0.23508752690611584,0.16705428236304015,0.11834701250668173,0.39550765092044654,True
S18R,qwen3-next-80b-instruct,False,True,True,0.14285714285714285,0.23508752690611584,0.16705428236304015,0.11834701250668173,0.39550765092044654,True
S10R,qwen3-next-80b-instruct,False,False,True,0.0,0.05243940397438501,0.03576157756236535,0.03523843961655533,0.07412013649741593,False
S9R,qwen3-next-80b-instruct,False,True,False,0.0,0.08127592952526853,0.064651325000356,0.04478232920318358,0.12827009942012288,True
S24R,qwen3-next-80b-instruct,False,False,True,0.0,0.03617717702650622,0.02781752613033795,0.021843986837905636,0.05771899324182402,False
S12,qwen3-next-80b-instruct,False,False,True,0.06666666666666667,0.09857108521580255,0.04859279214962665,0.04868529286712141,0.1557126354914707,False
S43,qwen3-next-80b-instruct,False,False,True,0.05555555555555555,0.0832167203828114,0.04859279214962665,0.041018214065723535,0.12946750958081302,False
S112,qwen3-next-80b-instruct,False,False,True,0.2,0.09526685094591186,0.04707210429969651,0.004274932877394725,0.23445351566064435,False
S19R,qwen3-next-80b-instruct,False,False,False,0.06666666666666667,0.09188744106992773,0.07488175959454635,0.06086471751309723,0.12915073452881137,False
S115,qwen3-next-80b-instruct,False,False,False,0.1111111111111111,0.10779451840747488,0.07488175959454635,0.05876517812287893,0.16833998345709722,False
S38R,qwen3-next-80b-instruct,False,True,False,0.5,0.14275053886841246,0.14275053886841246,0.0,0.0,False
S15R,qwen3-next-80b-instruct,False,False,True,0.0,0.05524878250285345,0.023679731614670758,0.02000824206114052,0.12205837383274905,False
S68R,qwen3-next-80b-instruct,False,True,True,0.48484848484848486,0.26778070677788424,0.1456729195783262,0.18071502903017986,0.3646166511554247,False
S52R,qwen3-next-80b-instruct,False,True,True,0.47058823529411764,0.26778070677788424,0.1456729195783262,0.18071502903017986,0.3646166511554247,False
S72R,qwen3-next-80b-instruct,False,True,True,0.48484848484848486,0.26778070677788424,0.1456729195783262,0.18071502903017986,0.3646166511554247,False
S69R,qwen3-next-80b-instruct,False,False,True,0.18181818181818182,0.27119595246121647,0.09072282982088675,0.0479133720733387,0.492339062137622,False
S77R,qwen3-next-80b-instruct,False,True,True,0.25,0.2595301414857088,0.08142048267770213,0.004022763483434694,0.6931471782959896,False
S70,qwen3-next-80b-instruct,True,True,False,1.0,0.6931471782959896,0.6931471782959896,0.0,0.0,False
S67,qwen3-next-80b-instruct,False,True,True,0.16666666666666666,0.16790892157030335,0.06337130172739736,0.025199298259242404,0.38520994389105384,True
S73R,qwen3-next-80b-instruct,False,True,True,0.16666666666666666,0.16790892157030335,0.06337130172739736,0.025199298259242404,0.38520994389105384,True
S55R,qwen3-next-80b-instruct,False,False,False,0.0,0.023679731614670758,0.023679731614670758,0.0,0.0,False
S116,qwen3-next-80b-instruct,False,False,False,0.0,0.023679731614670758,0.023679731614670758,0.0,0.0,False
S119R,qwen3-next-80b-instruct,False,False,False,0.0,0.12142353589674515,0.13210164370485697,0.04503594723089438,0.19781112456259592,False
S31R,qwen3-next-80b-instruct,False,False,False,0.0,0.023679731614670758,0.023679731614670758,0.0,0.0,False
S120R,qwen3-next-80b-instruct,False,False,False,0.0,0.023679731614670758,0.023679731614670758,0.0,0.0,False
S30,qwen3-next-80b-instruct,False,False,False,0.0,0.023679731614670758,0.023679731614670758,0.0,0.0,False
SA6,qwen3-next-80b-instruct,False,False,True,0.0,0.049280746092759585,0.049280746092759585,0.0,0.0,False
S121R,qwen3-next-80b-instruct,False,False,True,0.0,0.1229418024785151,0.116816981814322,0.049280746092759585,0.19660285886427062,False
